Incident_ID,Incident_Date,State,City_Or_County,__Victims_Injured,__Victims_Killed
2235778,"February 17, 2022",Texas,Houston,5,0
2443627,"October 23, 2022",Texas,Brownsville,5,0
2289610,"April 27, 2022",Texas,"San Antonio",5,0
2340696,"June 26, 2022",Texas,Winona,5,0
2320673,"June 4, 2022",Texas,"El Paso (Socorro)",5,0
2334359,"June 18, 2022",Texas,"San Antonio",5,2
2417863,"September 18, 2022",Nevada,"Las Vegas",5,0
2237697,"February 19, 2022",Oregon,Portland,5,1
2298092,"May 9, 2022",Alabama,Tuscaloosa,5,0
2254579,"March 15, 2022",Alabama,Ozark,5,0
2400492,"August 28, 2022",Arizona,Phoenix,5,2
2315605,"May 29, 2022",Arizona,Phoenix,5,1
2334512,"June 19, 2022",Florida,Miami,5,0
2377529,"August 3, 2022",Florida,Miami,5,0
2485011,"December 19, 2022",Florida,"Lake City",5,0
2415614,"September 14, 2022",Florida,"Miami (North Miami)",5,0
2333675,"June 18, 2022",Florida,Pensacola,5,0
2361654,"July 17, 2022",Georgia,Milledgeville,5,0
2285860,"April 23, 2022",Georgia,Atlanta,5,0
2212018,"January 15, 2022",Georgia,Brunswick,5,1
